Username,Potential customer
0x_epic,Samsung
AkashAltair,Samsung
Alex0news,Samsung
Alice_Sim1,Samsung
Babycraj,Apple
Brutelle_,Apple
ChickenGlazed,Samsung
Cryptikz__,Samsung
DE_GamingDeals,Samsung
DatFucknSoap,Samsung
Enslaved2G,Samsung
FrankIngaroca,Samsung
Frictiox_O,Apple
GoldDoggyLIVE,Samsung
IfanMeredith,Samsung
KatieHa15177090,Samsung
KavishPatil9,Samsung
MCForeignPolicy,Apple
Moater_Boater,Apple
NankNanda99,Samsung
New_Plagues,Samsung
PrestonSnowden,Apple
RealDupre,Samsung
Rokkienkeli,Samsung
SailorGrae,Samsung
SakaHystalker,Apple
Sergej38628875,Apple
SleepyPanda_7,Samsung
Snahccy,Samsung
SnakePiercy,Samsung
SnipersLaww,Samsung
SobbyQuiet,Samsung
SpoderBrad,Samsung
Squidward7388,Apple
StereoSteveo,Apple
TECHSUPPORT800,Apple
TankistaE,Samsung
Techandhardware,Apple
Thabiso_Ephile,Samsung
TheSmaea,Apple
TolliGaming,Samsung
TqAU_,Samsung
WhippetEsports,Samsung
WilliamOgert,Samsung
Zbourg95,Samsung
amir_suliman01,Samsung
asdfflla1,Apple
astralmoonkin,Samsung
beans4finn,Apple
brady_wrong,Samsung
david_at_bass,Apple
eitherwind,Samsung
ethantheleber,Apple
ihsanmlnnaa,Samsung
kmhasanbipul,Samsung
lapislazuli404,Samsung
southernborne73,Samsung
therealswimlady,Samsung
woo_wiss,Samsung
xd2player,Samsung
xighlont,Samsung
yifanyc,Apple
zx22_ttv,Apple
